Date,Open,High,Low,Close,Adj Close,Volume
1/16/2019,122.040001,122.440002,122.019997,122.269997,122.269997,6878100
1/17/2019,122.029999,122.260002,121.809998,122.110001,122.110001,8558500
1/18/2019,121.230003,121.519997,121.019997,121.019997,121.019997,10896000
1/22/2019,121.18,121.5,120.900002,121.449997,121.449997,7896500
1/23/2019,120.959999,121.540001,120.860001,121.279999,121.279999,5224900
1/24/2019,121.160004,121.360001,120.919998,121.089996,121.089996,5662500
1/25/2019,122.019997,122.910004,122.019997,122.860001,122.860001,11103300
1/28/2019,122.75,123.290001,122.720001,123.290001,123.290001,8522200
1/29/2019,123.709999,124,123.459999,123.980003,123.980003,11610200
1/30/2019,123.910004,125.07,123.699997,124.690002,124.690002,12104000
1/31/2019,125.18,125.230003,124.620003,124.75,124.75,10209500
2/1/2019,124.889999,125.050003,124.370003,124.5,124.5,12485500
2/4/2019,123.989998,124.290001,123.82,123.959999,123.959999,6878900
2/5/2019,124.290001,124.419998,124.050003,124.279999,124.279999,6291100
2/6/2019,124.160004,124.190002,123.400002,123.440002,123.440002,6595100
2/7/2019,123.800003,123.949997,123.440002,123.739998,123.739998,5935500
2/8/2019,124.050003,124.330002,123.980003,124.209999,124.209999,4235200
2/11/2019,123.190002,123.82,123.190002,123.599998,123.599998,4821800
2/12/2019,123.959999,124.029999,123.610001,123.860001,123.860001,4271900
2/13/2019,123.839996,124.550003,123.309998,123.370003,123.370003,7640500
2/14/2019,123.839996,124.199997,123.529999,124.059998,124.059998,6276500
2/15/2019,124.589996,125,124.18,124.800003,124.800003,12190100
2/19/2019,125.980003,126.790001,125.93,126.699997,126.699997,15614000
2/20/2019,127,127.209999,126.309998,126.480003,126.480003,8889700
2/21/2019,126.150002,126.220001,125.050003,125.050003,125.050003,8634600
2/22/2019,125.529999,125.949997,125.389999,125.5,125.5,5439400
2/25/2019,125.779999,125.900002,125.230003,125.370003,125.370003,4882600
2/26/2019,125.330002,125.620003,125.050003,125.580002,125.580002,5153200
2/27/2019,125.169998,125.230003,124.400002,124.690002,124.690002,7935600
2/28/2019,124.709999,124.709999,123.980003,123.989998,123.989998,7811700
3/1/2019,123.480003,123.959999,121.870003,121.879997,121.879997,16411700
3/4/2019,121.559998,121.849998,121.18,121.559998,121.559998,10272600
3/5/2019,121.379997,121.730003,121.029999,121.720001,121.720001,7120100
3/6/2019,121.43,121.639999,121.260002,121.610001,121.610001,4820400
3/7/2019,121.269997,121.709999,121.18,121.510002,121.510002,6088800
3/8/2019,122.699997,122.889999,122.370003,122.839996,122.839996,10427700
3/11/2019,122.519997,122.540001,121.919998,122.239998,122.239998,6708700
3/12/2019,122.540001,123.029999,122.400002,122.980003,122.980003,6289900
3/13/2019,123.559998,123.879997,123.43,123.839996,123.839996,7377300
3/14/2019,122.330002,122.550003,122.120003,122.410004,122.410004,6778200
3/15/2019,123.059998,123.400002,122.910004,122.970001,122.970001,9412000
3/18/2019,123.300003,123.400002,122.889999,123.040001,123.040001,7783200
3/19/2019,123.720001,123.790001,123.339996,123.379997,123.379997,6558700
3/20/2019,123.660004,124.419998,122.650002,124.18,124.18,11304900
3/21/2019,124.360001,124.370003,123.110001,123.68,123.68,7739800
3/22/2019,123.93,124.220001,123.730003,123.970001,123.970001,5874000
